Algorithm,Operation,Size_Label,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
AES-CCM,Encrypt,8MB,8997.076,9002.142,442.113,158.208,889.18
AES-CFB,Decrypt,8MB,4686.937,3461.604,6672.348,2387.669,1706.87
AES-CFB,Encrypt,8MB,7433.316,7425.246,29.093,10.411,1076.24
AES-CTR,Decrypt,8MB,2450.584,2448.237,11.085,3.967,3264.53
AES-CTR,Encrypt,8MB,2449.857,2446.691,14.072,5.036,3265.5
AES-ECB,Decrypt,8MB,4430.156,2262.931,11685.609,4181.641,1805.81
AES-ECB,Encrypt,8MB,2290.564,2266.415,78.967,28.258,3492.59
AES-GCM,Decrypt,8MB,3572.156,3563.336,252.008,90.18,2239.54
AES-GCM,Encrypt,8MB,3953.781,3894.463,319.179,114.217,2023.38
AES-OFB,Decrypt,8MB,9729.354,7662.454,11165.175,3995.407,822.25
AES-OFB,Encrypt,8MB,7660.311,7657.445,24.563,8.79,1044.34
AES-XTS,Decrypt,8MB,6864.126,6856.227,39.639,14.185,1165.48
AES-XTS,Encrypt,8MB,6917.967,6898.966,80.524,28.815,1156.41
